large-236.in, room size 1, no solution
large-236.in, room size 2, no solution
large-236.in, room size 3, no solution
large-236.in, room size 4, no solution
large-236.in, room size 5, no solution
large-236.in, room size 6, no solution
large-236.in, room size 7, no solution
large-236.in, room size 8, no solution
large-236.in, room size 9, no solution
large-236.in, room size 10, no solution
large-236.in, room size 11, no solution
large-236.in, room size 12, no solution
large-236.in, room size 13, no solution
large-236.in, room size 14, solution found
large-236.in, room size 15, solution found
large-236.in, room size 16, solution found
large-236.in, room size 17, solution found
large-236.in, room size 18, solution found
large-236.in, room size 19, solution found
large-236.in, room size 20, solution found
large-236.in, room size 21, solution found
large-236.in, room size 22, solution found
large-236.in, room size 23, solution found
large-236.in, room size 24, solution found
large-236.in, room size 25, solution found
large-236.in, room size 26, solution found
large-236.in, room size 27, solution found
large-236.in, room size 28, solution found
large-236.in, room size 29, solution found
large-236.in, room size 30, solution found
large-236.in, room size 31, solution found
large-236.in, room size 32, solution found
large-236.in, room size 33, solution found
large-236.in, room size 34, solution found
large-236.in, room size 35, solution found
large-236.in, room size 36, solution found
large-236.in, room size 37, solution found
large-236.in, room size 38, solution found
large-236.in, room size 39, solution found
large-236.in, room size 40, solution found
large-236.in, room size 41, solution found
large-236.in, room size 42, solution found
large-236.in, room size 43, solution found
large-236.in, room size 44, solution found
large-236.in, room size 45, solution found
large-236.in, room size 46, solution found
large-236.in, room size 47, solution found
large-236.in, room size 48, solution found
large-236.in, room size 49, solution found
large-236.in, room size 50, solution found
large-236.in 3867.221
 
-6130.231771230698
large-240.in, room size 1, no solution
large-240.in, room size 2, no solution
large-240.in, room size 3, no solution
large-240.in, room size 4, no solution
large-240.in, room size 5, no solution
large-240.in, room size 6, no solution
large-240.in, room size 7, no solution
large-240.in, room size 8, no solution
large-240.in, room size 9, solution found
large-240.in, room size 10, solution found
large-240.in, room size 11, solution found
large-240.in, room size 12, solution found
large-240.in, room size 13, solution found
large-240.in, room size 14, solution found
large-240.in, room size 15, solution found
large-240.in, room size 16, solution found
large-240.in, room size 17, solution found
large-240.in, room size 18, solution found
large-240.in, room size 19, solution found
large-240.in, room size 20, solution found
large-240.in, room size 21, solution found
large-240.in, room size 22, solution found
large-240.in, room size 23, solution found
large-240.in, room size 24, solution found
large-240.in, room size 25, solution found
large-240.in, room size 26, solution found
large-240.in, room size 27, solution found
large-240.in, room size 28, solution found
large-240.in, room size 29, solution found
large-240.in, room size 30, solution found
large-240.in, room size 31, solution found
large-240.in, room size 32, solution found
large-240.in, room size 33, solution found
large-240.in, room size 34, solution found
large-240.in, room size 35, solution found
large-240.in, room size 36, solution found
large-240.in, room size 37, solution found
large-240.in, room size 38, solution found
large-240.in, room size 39, solution found
large-240.in, room size 40, solution found
large-240.in, room size 41, solution found
large-240.in, room size 42, solution found
large-240.in, room size 43, solution found
large-240.in, room size 44, solution found
large-240.in, room size 45, solution found
large-240.in, room size 46, solution found
large-240.in, room size 47, solution found
large-240.in, room size 48, solution found
large-240.in, room size 49, solution found
large-240.in, room size 50, solution found
large-240.in 197.14600000000002
 
-6044.290415763855
large-118.in, room size 1, no solution
large-118.in, room size 2, no solution
large-118.in, room size 3, no solution
large-118.in, room size 4, no solution
large-118.in, room size 5, no solution
large-118.in, room size 6, no solution
large-118.in, room size 7, no solution
large-118.in, room size 8, no solution
large-118.in, room size 9, no solution
large-118.in, room size 10, no solution
large-118.in, room size 11, no solution
large-118.in, room size 12, no solution
large-118.in, room size 13, no solution
large-118.in, room size 14, no solution
large-118.in, room size 15, no solution
large-118.in, room size 16, solution found
large-118.in, room size 17, solution found
large-118.in, room size 18, solution found
large-118.in, room size 19, solution found
large-118.in, room size 20, solution found
large-118.in, room size 21, solution found
large-118.in, room size 22, solution found
large-118.in, room size 23, solution found
large-118.in, room size 24, solution found
large-118.in, room size 25, solution found
large-118.in, room size 26, solution found
large-118.in, room size 27, solution found
large-118.in, room size 28, solution found
large-118.in, room size 29, solution found
large-118.in, room size 30, solution found
large-118.in, room size 31, solution found
large-118.in, room size 32, solution found
large-118.in, room size 33, solution found
large-118.in, room size 34, solution found
large-118.in, room size 35, solution found
large-118.in, room size 36, solution found
large-118.in, room size 37, solution found
large-118.in, room size 38, solution found
large-118.in, room size 39, solution found
large-118.in, room size 40, solution found
large-118.in, room size 41, solution found
large-118.in, room size 42, solution found
large-118.in, room size 43, solution found
large-118.in, room size 44, solution found
large-118.in, room size 45, solution found
large-118.in, room size 46, solution found
large-118.in, room size 47, solution found
large-118.in, room size 48, solution found
large-118.in, room size 49, solution found
large-118.in, room size 50, solution found
large-118.in 175.42100000000002
 
-6141.264891386032
large-111.in, room size 1, no solution
large-111.in, room size 2, no solution
large-111.in, room size 3, no solution
large-111.in, room size 4, no solution
large-111.in, room size 5, no solution
large-111.in, room size 6, no solution
large-111.in, room size 7, no solution
large-111.in, room size 8, no solution
large-111.in, room size 9, no solution
